Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,First Year,Last Year,Tenure,Consecutive,Positions
"Storch, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chef för Gasdivisionen Vice VD i AGA AB,Chef för Gasdivisionen Vice VD i AGA AB,Verkställande direktör i AGA AB,Verkställande direktör,VD,VD,VD i AGA,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Koncernchef och VD,,,Verkställande direktör,Verkställande direktör,Styrelseledamot,,,,1979,1996,18,True,VD i AGA | Verkställande direktör | Chef för Gasdivisionen Vice VD i AGA AB | Styrelseledamot | Verkställande direktör i AGA AB | Koncernchef och VD | VD
"Svensson, Torsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör i AGA AB,,Arbetstagarrepresentant,tjänsteman,Tjänsteman,Tjänsteman,,arbetstagarrepresentant,"Tjänsteman, arbetstagarrepresentant",,Tjänsteman,,,,,,,,,,,,,,,1974,1992,18,False,"tjänsteman | Arbetstagarrepresentant | arbetstagarrepresentant | Tjänsteman | Tjänsteman, arbetstagarrepresentant | Verkställande direktör i AGA AB"
"WIRSTRÖM, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,,1964,1981,18,True,Direktör | direktör
"Holm, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,,,,direktör,,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921,1956,17,False,direktör
"Ovin, Hans-Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör i Wilh. Sonesson AB,,VD i Wilh. Sonesson,,Styrelseledamot,,,,,,,,,,,Styrelseledamot,,,,1980,1996,17,True,Styrelseledamot | VD i Wilh. Sonesson | Verkställande direktör i Wilh. Sonesson AB
"RAPPE, O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1934,16,False,
"Wickman, Krister",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doktor,,,Verkställande direktör i Allmänna Pensionsfonden,,"VD i Allmänna Pensionsfondens första, andra och tredje fondstyrelser",,VD,vice ordförande,,,,Vice ordförande,Vice ordförande,Vice ordförande,,,,,,,,1978,1992,15,True,"VD i Allmänna Pensionsfondens första, andra och tredje fondstyrelser | doktor | vice ordförande | Verkställande direktör i Allmänna Pensionsfonden | Vice ordförande | VD"
"Zethelius, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,1949,15,True,
"Banck, Percy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skeppsredare,skeppsredare,skeppsredare,skeppsredare,skeppsredare,skeppsredare,skeppsredare,skeppsredare,skeppsredare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1962,13,True,skeppsredare
HOLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1953,13,False,direktör
"Silfverstolpe, Gudmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,,direktör,direktör,,,,direktör,Suppleanter,,,,,Suppleanter,direktör,Suppleant,SUPPLEANT,,direktör,direktör,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,1971,13,False,Suppleant | Suppleanter | direktör | SUPPLEANT
"Heidenstam, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VON,,,,,,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1952,11,False,ordförande | VON
"Ekström, Per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör i AB Volvo,,,ordförande i Svenska Varv AB,,Ordförande i Svenska Varv AB,Direktör,,Styrelseordförande i Promotion och Aritmos,,,,,,,,,,,,,,,,,1974,1983,10,True,Direktör i AB Volvo | Ordförande i Svenska Varv AB | Styrelseordförande i Promotion och Aritmos | ordförande i Svenska Varv AB | Direktör
"Jeansson, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,,1989,1998,10,True,Styrelseledamot
"Martin-Löf, Sverker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,,1989,1998,10,True,Styrelseledamot
"BROWALDH, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,,,,,,,,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1960,9,False,ordförande | vice ordförande
"Lindberg, Per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör i AB Industrivärden,,Vice ordförande,Vice ordförande,v ordf.,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,,,,,,,1977,1985,9,True,Vice ordförande | verkställande direktör i AB Industrivärden | v ordf. | vice ordförande
"Svedberg, Björn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koncernchef och VD i Telefonaktiebolaget L M Ericsson,,Koncernchef,,,,,,,,,,,,,,,1983,1991,9,True,Koncernchef | Koncernchef och VD i Telefonaktiebolaget L M Ericsson
"Lundholm, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,,1992,1999,8,True,Styrelseledamot
"Olsson, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lagerarbetare,Lagerarbetare,"Lagerarbetare, arbetstagarrepresentant",arbetstagarrepresentant,"Lagerarbetare, arbetstagarrepresentant.",,Lagerarbetare,,,,,,,,,,,,,,,1979,1986,8,True,"Lagerarbetare, arbetstagarrepresentant | Lagerarbetare | Lagerarbetare, arbetstagarrepresentant. | arbetstagarrepresentant"
"Pålsson, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bevakningsman, arbetstagarrepresentant",,,,,,,,,,,,,,,,,1983,1993,8,False,"Bevakningsman, arbetstagarrepresentant"
"Browaldh, Ernfrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1959,7,True,ordförande | vice ordförande
"Heidenstam, Rolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1957,7,False,ordförande
"Äselius, Hjalmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bruksdisponent,bruksdisponent,bruksdisponent,bruksdisponent,vice ordförande,vice ordförande,,vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,1961,7,False,vice ordförande | bruksdisponent
"Berggren, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,vice ordförande,vice ordförande,,Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,1970,1975,6,True,Vice ordförande | direktör | vice ordförande
"Jarebo, Sven-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,,Arbetsledare,Arbetsledare,"Arbetsledare, arbetstagarrepresentant",arbetstagarrepresentant,,,,,,,,,,,,,,,,,,1976,1982,6,False,"Suppleant | arbetstagarrepresentant | Arbetsledare, arbetstagarrepresentant | Arbetsledare"
RAPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1931,6,False,
"Reuterskiöld, Clas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,,1994,1999,6,True,Styrelseledamot
"Rodling, Ejnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,1941,6,True,
"WESTBERG, L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1953,6,False,direktör
"Klinga, Bertil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,,1993,1997,5,True,Styrelseledamot
"Ehn, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,,,,direktör,Suppleanter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1959,4,False,Suppleanter | direktör
"Feinsilber, Carl-Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice ordförande,Vice ordförande,Vice ordförande,,,,,,,1990,1993,4,True,Vice ordförande
"Frisinger, Håkan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD i Volvo,,VD,,,,,,,,,,,,,,,1983,1986,4,True,VD i Volvo | VD
"Fritshagen, Lars-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Kontrollant,arbetstagarrepresentant,,1996,1999,4,True,Styrelseledamot | Kontrollant | arbetstagarrepresentant
"HOLM, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,1942,4,False,
"Jacobsson, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,,,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1966,4,False,ordförande
"Rosén, Björn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,1969,4,True,verkställande direktör | direktör
"Staaff, Rune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,1991,4,True,
"Aronson, Albert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1977,3,True,
"Brändström, Kjell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,,,,,,,,,,,,,,1986,1988,3,True,vice ordförande
"FÅHRÆUS, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1919,3,False,
"MONTELIUS, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1914,3,True,
"NORDVALL, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1917,3,False,
"Rönn, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbetstagarrepresentant,,Suppleant,,,,,,,,,,,,,,,,,,,,,,,1975,1977,3,True,Suppleant | Arbetstagarrepresentant
"Selander, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,1997,1999,3,True,Verkställande direktör
"Sjöstrand, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,Ordförande,1997,1999,3,True,Ordförande | Styrelseledamot
"Säfblad, Torgny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsesuppleant,Styrelsesuppleant,,,1995,1997,3,True,Styrelsesuppleant
"Trolle, Ulf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekonomie doktor,,ekon doktor,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1973,3,False,ekonomie doktor | ekon doktor
"Zethelius, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bankdirektör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1950,3,False,bankdirektör
"Bernadotte af Wisborg, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1944,2,True,
"Engman, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,1998,1999,2,True,arbetstagarrepresentant
"FAHRÆUS, KLAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,1915,2,False,
Heidenstam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1949,2,False,
"Olsson, Ivar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,1943,2,True,
Åselius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1963,2,True,
"""
12 Bengt Pålsson NOMICS, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsesuppleant,,,,,,,,,,,,,,,1985,1985,1,True,Styrelsesuppleant
"ANDERSSON, ARON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"BEFRITS, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"Bennet, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1998,1,True,
DALÉN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1918,1,True,
"DALÉN, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1914,1,True,
"ENGELLAU, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,1964,1,True,
"Elgenmark, Ingegerd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,1998,1998,1,True,arbetstagarrepresentant
FÅHRÆUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1918,1,True,
"FÅHRÆUS, KLAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1914,1,True,
HEDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1920,1,True,
"HOLM, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1955,1,True,direktör
"Hedin, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921,1921,1,True,
JACOBSSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,1963,1,True,Verkställande direktör
"Jacobsson, C. A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1962,1,True,Verkst. dir.
"KJELLBERG, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"LINDMAN, ARVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1914,1,True,
"Murray, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sekreterare,,,,,,,,1992,1992,1,True,sekreterare
"ÅSELIUS, HJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1960,1,True,vice ordförande
