company_name,fiscal_year,revenue,cost_of_goods_sold,operating_expenses,wages_expense,tax_expense,depreciation,net_income,total_assets,current_assets,fixed_assets,total_liabilities,current_liabilities,long_term_liabilities,shareholders_equity,n_employees,n_blue_collar_workers,n_white_collar_workers
ASEA,1933,4910885.01,,,,700000.0,1233800.0,4527595.13,55471115.51,21840170.47,32027000.0,24593073.0,20100749.6,,85000000.0,7636.0,,
ASEA,1934,,,,,,,5969360.95,130220535.17,,,,,,85000000.0,,,
ASEA,1935,,,,,,,6980226.16,136763097.97,,,51763097.97,,,85000000.0,9560.0,,
ASEA,1936,,,,,4000000.0,1689430.0,8202186.45,156203262.32,,34314830.0,61203262.32,,16867854.81,95000000.0,10288.0,,
ASEA,1937,,,,,,,9453424.39,168753309.52666667,,,73153309.53,,,95600000.0,10776.0,,
ASEA,1938,16598046.15,,,,4000000.0,3819315.6,10966436.43,171101100.65,35122996.51,37275955.0,75506064.07,20259274.2,15506064.07,95600000.0,,,
ASEA,1939,,,,,6500000.0,3738906.56,8335407.17,179368010.53,78235876.39,37187305.0,83768010.53,50342109.31,15123114.48,95600000.0,18849.0,,
ASEA,1940,,,,,,,8813859.25,185469237.71,,,89869214.94666667,,,95600023.62333333,,,
ASEA,1941,20319352.73,,,,,5249597.27,9915677.02,214955177.06,85613990.12,39532117.2,65757364.32666666,48618938.2,13723173.22,95700944.05,20464.0,,
ASEA,1942,12932209.526666667,,,,8000000.0,4782094.22,9864639.78,228233173.71,37612009.64,41385849.0,83503790.06,12924676.4,12881000.0,102208204.87,21113.0,,
ASEA,1943,18904127.48,,7149334.02,,,8684487.166666666,8289620.04,240826278.49,96810692.36,40446180.0,47541459.160000004,30039509.18,12352000.0,102524691.07,21962.0,,
ASEA,1944,,,,,,,13161182.92,244353188.66,,,141828497.59,,,102524691.07,,,
ASEA,1945,9834364.5,,6017724.32,,3000000.0,3816640.18,4553671.07,278154997.0,90707422.68,53333631.333333336,175400253.98000002,79475884.39333333,60497680.2,102524691.07,,,
ASEA,1946,24977712.27,,,,6600000.0,8943276.3,13270883.88,335518414.28,,56411632.61,,52998125.72,,102524691.07,24038.0,,
ASEA,1947,,,,108953708.19,,9505696.765,18560848.66,383439663.22,239809115.96,143630547.26,188079555.58666667,36898704.8,26195629.97,121435918.94,15162.0,13155.0,6392.0
ASEA,1948,,,,,,,8526321.03,462500157.02,294974429.2,167525727.73333332,327100655.25,168883348.835,127482566.23666666,135399501.77,25995.0,13647.0,
ASEA,1949,,,19698669.47,134709281.82,7800000.0,16212437.63,6917359.045344461,533241753.1,321840879.89,211400873.21,369642252.33,48020767.19,59343517.61,163599500.77,,,
ASEA,1950,28247049.29685092,,,,7400003.7,,10803848.46192153,431178864.1933333,104214482.63,207411284.16333333,221981628.57999998,57890442.47,32590903.91,158600000.0,,,
ASEA,1951,65.1475096,,,169.36691604,20.0,32.19579906,20.67779401,635.71328387,106.98202392,138.52273033333333,287.05772777333334,69.21294037,53.06780129,247.35028943333333,29106.0,19566.0,9540.0
ASEA,1952,668.5533333333334,,,,24.5,36.60666666666667,20.833333333333336,664.83,125.68,139.93,251.7,225.95333333333335,61.96,109.16666666666666,23863.0,9369.0,5266.0
ASEA,1953,654.0,,,203831767.06,28666681.0,15417480.19,21537531.673333332,707227359.73,422107713.32,285119646.41,405538749.24666667,118301779.2,137375125.96333334,268838610.0,15564.0,14567.666666666666,8251.333333333334
ASEA,1954,103378172.0,,,,44500000.0,,37391284.34,638522811.0566666,218385778.16,249406423.39333332,280721397.01,106521078.72,58539812.19,296400000.0,28520.0,18217.0,10303.0
ASEA,1955,584.0,,,,43.5,,27.3,577.6066666666666,331.72,300.11,344.09,93.69,50.51,312.65,30300.0,19182.0,11118.0
ASEA,1956,580.0,,,,22.0,,25.6,685.033,,367.23,,100.678,,337.65,30562.0,18933.0,11629.0
ASEA,1957,64608627.864,,,136809549.13799998,16000008.0,13966570.563000001,19366007.94266667,523470564.41499996,249713449.0763333,273757115.3383333,256748179.34066665,90802328.72099999,21588461.279666666,256748167.63333333,31940.0,19563.0,12377.0
ASEA,1958,37366594.902666666,,33.566,221.518,17.0,7066467.532666666,9462860.942,266510576.08333334,118096208.468,148414367.61466667,132283597.9,26953954.872,20751729.810000002,132283535.83333333,27296.0,16106.333333333334,11189.666666666666
ASEA,1959,261.62666666666667,,,234.4,13.0,22.2,25.006666666666668,888.55,413.05,341.52,438.93,171.42,59.8,428.25,17833.0,9891.0,7942.0
ASEA,1960,63078705.77,,,,4666676.0,23.755,9968025.844666667,312901408.454,521.742,138987257.567,,65967155.16500001,108.314,144583622.51666668,30681.0,,
ASEA,1961,87.14701663,,,298.223098565,22000011.0,27665389.37,25091621.552333333,676132934.6196667,364742156.391,311390778.22866666,291333479.0,117829480.48133333,34447930.57066667,318962324.0096667,,,
ASEA,1962,862252576.0,,31580785.0,226181575.33333334,40000000.0,31580785.0,47377952.0,1107751339.0,621663450.0,486087889.0,256194081.66666666,174562570.33333334,68597586.0,466168956.0,19829.0,11717.0,8112.0
ASEA,1963,906.572882,,770.028328,,46.0,33.369534,43.4597,795605591.802597,434122316.394383,348374895.520694,319299440.61547333,179760249.11212033,258263545.64801067,218042662.61547333,18571.0,11066.0,7754.0
ASEA,1964,1011.875,849.316,,372.139,64.0,31.959,53.88,1319.29,507.919,620.2296666666667,660.389,174.202,408.075,567.423,19004.0,11212.0,7592.0
ASEA,1965,2324.498,2007.06,,,76.4285,72.119,72.794,2446.636,1459.713,947.41,633.732,788.437,633.732,880.763,34332.0,,
ASEA,1966,2447.3,,,,45.1,,52.6,2709.5,1650.1,1028.4,974.8,692.3,891.0,,34413.0,,
ASEA,1967,2764.8,,,484.78,44.1,101.243,71.4,2939.1886666666664,1859.9476666666667,1059.8393333333333,891.7766666666666,538.8779999999999,455.3833333333333,911.3886666666667,32401.0,,
ASEA,1968,2728.1,,,,53.8,,86.1,3720.7,2582.1,1119.8,2201.65,794.4833333333333,848.6080000000001,984.401,32726.0,,
ASEA,1969,3332.5,,,,60.6,,89.6,4283.554,3033.692,1223.611,2008.4023333333332,1469.689,986.4,1025.764,34867.0,,
ASEA,1970,3689.5846666666666,,3319.901,,83.4,117.928,90.32666666666667,4988.224,3453.186,1495.126,1923.937,1654.5733333333333,1033.042,1061.3713333333333,36591.0,10913.0,7262.0
ASEA,1971,4001.0,,,,61.6,,89.2,5691.620666666667,3793.6246666666666,1860.4926666666668,2211.8940000000002,1253.8953333333334,748.0813333333333,1235.8006666666665,37911.0,,
ASEA,1972,4966.040666666667,,,,,177.243,116.03333333333333,6373.9980000000005,4207.283,2123.801,4974.013666666667,2397.18,1608.895,1399.974,38651.0,,
ASEA,1973,5249.0,,,1770.0,,222.1,138.0,7183.105333333333,2384.272,2397.393,2982.23,1731.567,1322.023,1493.436,39154.0,,
ASEA,1974,6917.0,,,,,,80.0,8010.0,,,,,,1476.0,41217.0,,
